Tweet,Keywords,Date,User,Source,Tweet_Id,Tweet_URL
"NETFLIX ANTI ON HOLD NYA READY LOH DIJAMIN FASTRESP😊🌻

📍SHARING 30k 📍PRIVATE 100k

wtb wts jual beli mau pengen wattpad viu spotify perpanjang  unfold vsco fullpack preset lightroom nichi tezza youtube open rs app premium  murah reseller https://t.co/pNGXTh1YMs",Netflix,2020-07-05 14:02:38,peachywinz,Twitter for iPhone,1279777713541115909,https://twitter.com/statuses/1279777713541115909
"""There is a road, no simple highway,
Between the dawn and the dark of night,
And if you go no one may follow,
That path is for your steps alone.""
Ripple - Grateful Dead
https://t.co/Faj4PxjDQN
Dark, Netflix... A imagem é da série...medalha de São Cristóvão, santo dos viajantes. https://t.co/XdTZRWWcLS",Netflix,2020-07-05 14:02:39,capleonardi_zed,Twitter for Android,1279777718893187072,https://twitter.com/statuses/1279777718893187072
"""I passionately dream of seeing girls like me in fashion books, on billboards, in Coca-Cola advertisements and obviously in movies. Hopefully Netflix”: At Miss Muslimah USA, a pageant for young Muslim women, the complexity of modesty is on full display. https://t.co/RmPuksFQWI",Netflix,2020-07-05 14:02:40,Lattif,Twitter Web App,1279777722508685312,https://twitter.com/statuses/1279777722508685312
"This is so 😱

#28WeeksLater
#Netflix https://t.co/JBztBwYGUS","#Netflix, Netflix",2020-07-05 14:02:45,TickleMe_Pink24,Twitter for Android,1279777743467511809,https://twitter.com/statuses/1279777743467511809
"Fuxk Firstbank, can’t pay for Apple Music, can’t pay for Netflix, can’t check my balance, can’t do anything ☹️",Netflix,2020-07-05 14:02:46,Keribaby106,Twitter for iPhone,1279777746848296961,https://twitter.com/statuses/1279777746848296961
Sunday’s are for Netflix and the wines 🍷,Netflix,2020-07-05 14:02:54,curly_sivz,Twitter for iPhone,1279777779542904835,https://twitter.com/statuses/1279777779542904835
"I talked with teacher from Sri Lanka, today. He likes Netflix, and I tell him that I love Terracehause. He asked me Why Hana commit suicide？ It is  difficult for me to explain something  like that happend in English. He said it is so strange. 

#day42",Netflix,2020-07-05 14:02:59,B02yuMa,Twitter for Android,1279777801906778113,https://twitter.com/statuses/1279777801906778113
@artblockmusic Lots of Netflix! 🙂 How is your day going Art?,Netflix,2020-07-05 14:03:00,SoniaDmusic,Twitter for Android,1279777805434314757,https://twitter.com/statuses/1279777805434314757
"#UnsolvedMysteries and Jurassic Park are now available to stream on Netflix, along with these other movies and TV shows https://t.co/lGIHSdCXYl",Netflix,2020-07-05 14:03:00,totalfilm,Buffer,1279777806189309956,https://twitter.com/statuses/1279777806189309956
Just finished work and ep 6 is already up on netflix I'm so happy https://t.co/LDZ7koUsHw,Netflix,2020-07-05 14:03:00,dokgoasis,Twitter for Android,1279777806323343361,https://twitter.com/statuses/1279777806323343361
"Take a break from sunbathing and enjoy all the new TV shows and movies #Netflix has to offer this month! 🔥 
https://t.co/ae5BMWDmdc","#Netflix, Netflix",2020-07-05 14:03:01,Life_and_Style,Sprout Social,1279777807493664768,https://twitter.com/statuses/1279777807493664768
"Done with the season 2 
Rating - 4/5☺️
#sexeducation #netflix https://t.co/y0DJXJM14o","#Netflix, Netflix",2020-07-05 14:03:02,KamalMisra__,Twitter for Android,1279777811985657857,https://twitter.com/statuses/1279777811985657857
"NETFLIX ANTI ON HOLD NYA READY LOH DIJAMIN FASTRESP☺️🔥✨🗺

📍SHARING 30k 📍PRIVATE 100k

wtb wts jual beli mau pengen wattpad viu spotify perpanjang  unfold vsco fullpack preset lightroom nichi tezza youtube open rs app premium  murah reseller https://t.co/pNGXTh1YMs",Netflix,2020-07-05 14:03:02,peachywinz,Twitter for iPhone,1279777813860544513,https://twitter.com/statuses/1279777813860544513
"#ItsOkayToNotBeOkayEp6 out now on Netflix!
#ItsOkayToNotBeOkay https://t.co/E6cnIfu8uF",Netflix,2020-07-05 14:03:09,zeroclock0000,Twitter for Android,1279777842289537030,https://twitter.com/statuses/1279777842289537030
@Zetseuh2 les 2 sont sur netflix t con  ?,Netflix,2020-07-05 14:03:13,BilalLgdh,Twitter for iPhone,1279777861524750339,https://twitter.com/statuses/1279777861524750339
